__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1673605933.340875,,,,5.088324,5.088321,17594.000000,1673605933.198629
1673605933.341207,,,,5.088708,5.087960,17595.000000,1673605933.199636
1673605933.341226,,,,5.086737,5.087070,17596.000000,1673605933.200643
1673605933.341448,,,,5.085006,5.086926,17597.000000,1673605933.201650
1673605933.341798,,,,5.086761,5.089571,17598.000000,1673605933.202657
1673605933.342058,,,,5.088564,5.088489,17599.000000,1673605933.203664
1673605933.342227,,,,5.090271,5.090580,17600.000000,1673605933.204671
1673605933.342411,,,,5.090295,5.092696,17601.000000,1673605933.205678
1673605933.342430,,,,5.088035,5.092455,17602.000000,1673605933.206685
1673605933.342503,,,,5.085150,5.087791,17603.000000,1673605933.207692
1673605933.348004,,,,5.079861,5.081181,17604.000000,1673605933.208699
1673605933.348327,,,,5.079309,5.080122,17605.000000,1673605933.209707
1673605933.348596,,,,5.073851,5.077550,17606.000000,1673605933.210714
1673605933.348786,,,,5.065148,5.067020,17607.000000,1673605933.211721
1673605933.349202,,,,5.058633,5.061515,17608.000000,1673605933.212728
1673605933.349345,,,,5.063706,5.064809,17609.000000,1673605933.213735
1673605933.349365,,,,5.072048,5.073271,17610.000000,1673605933.214742
1673605933.349594,,,,5.077385,5.080435,17611.000000,1673605933.215749
1673605933.349939,,,,5.088804,5.089522,17612.000000,1673605933.216756
1673605933.350492,,,,5.098300,5.098249,17613.000000,1673605933.217763
1673605933.350524,,,,5.107893,5.105990,17614.000000,1673605933.218770
1673605933.374774,-0.655266,787694.000000,1673605933.313816,,,,
1673605933.374785,-0.655266,787695.000000,1673605933.314816,,,,
1673605933.374885,-0.637177,787696.000000,1673605933.315816,,,,
1673605933.376515,-0.438189,787745.000000,1673605933.364816,,,,
1673605933.376535,-0.438189,787746.000000,1673605933.365816,,,,
1673605933.376547,-0.438189,787747.000000,1673605933.366816,,,,
1673605933.376556,-0.420100,787748.000000,1673605933.367816,,,,
1673605933.376637,-0.365824,787749.000000,1673605933.368816,,,,
1673605933.376673,-0.365824,787750.000000,1673605933.369816,,,,
1673605933.376688,-0.365824,787751.000000,1673605933.370816,,,,
1673605933.376710,-0.329646,787752.000000,1673605933.371816,,,,
1673605933.376740,-0.365824,787753.000000,1673605933.372816,,,,
1673605933.376789,-0.311557,787754.000000,1673605933.373816,,,,
1673605933.379148,,,,5.110633,5.111567,17615.000000,1673605933.219777
1673605933.379246,,,,5.111162,5.114332,17616.000000,1673605933.220784
1673605933.380265,,,,5.095800,5.097744,17618.000000,1673605933.222799
1673605933.380292,,,,5.094550,5.096014,17619.000000,1673605933.223806
1673605933.380584,,,,5.096738,5.098249,17620.000000,1673605933.224813
1673605933.380676,,,,5.097050,5.100870,17621.000000,1673605933.225820
1673605933.380686,,,,5.096041,5.100173,17622.000000,1673605933.226827
1673605933.380692,,,,5.095439,5.097480,17623.000000,1673605933.227834
1673605933.380699,,,,5.090391,5.095124,17624.000000,1673605933.228841
1673605933.380747,,,,5.092338,5.095821,17625.000000,1673605933.229848
1673605933.380756,,,,5.094213,5.098393,17626.000000,1673605933.230855
1673605933.380769,,,,5.096209,5.095701,17627.000000,1673605933.231862
1673605933.380778,,,,5.094959,5.096927,17628.000000,1673605933.232869
1673605933.380984,,,,5.093997,5.095292,17629.000000,1673605933.233876
1673605933.381800,,,,5.091689,5.091734,17630.000000,1673605933.234884
1673605933.381812,,,,5.091713,5.089450,17631.000000,1673605933.235891
1673605933.381823,,,,5.091040,5.093009,17632.000000,1673605933.236898
1673605933.383211,,,,5.092603,5.094835,17633.000000,1673605933.237905
1673605933.383354,,,,5.095800,5.096254,17634.000000,1673605933.238912
1673605933.384785,,,,5.075077,5.077550,17648.000000,1673605933.253011
1673605933.384885,,,,5.115177,5.119693,17649.000000,1673605933.254018
1673605933.384961,,,,5.125178,5.128108,17650.000000,1673605933.255025
1673605933.385164,,,,5.116691,5.121376,17651.000000,1673605933.256032
1673605933.385178,,,,5.114431,5.116808,17652.000000,1673605933.257039
1673605933.385184,,,,5.117461,5.118852,17653.000000,1673605933.258046
1673605933.385188,,,,5.112436,5.114693,17654.000000,1673605933.259053
1673605933.385452,,,,5.110224,5.112962,17655.000000,1673605933.260061
1673605933.385494,,,,5.109744,5.111567,17656.000000,1673605933.261068
1673605933.385650,,,,5.110441,5.112529,17657.000000,1673605933.262075
1673605933.385659,,,,5.109263,5.111447,17658.000000,1673605933.263082
1673605933.385693,,,,5.104887,5.109452,17659.000000,1673605933.264089
1673605933.385829,,,,5.105056,5.107240,17660.000000,1673605933.265096
