file_name,time_t,grip,grip_approx_smooth,grip_approx_predict
dsp3m2_22_m,1718098565.185167,256.70896257712576,259.0382193739981,
dsp3m2_22_m,1718098565.193223,256.13667918167044,258.79408559763255,
dsp3m2_22_m,1718098565.20128,255.4723900000585,258.54937906776564,
dsp3m2_22_m,1718098565.209336,254.614449959188,258.30401822321335,
dsp3m2_22_m,1718098565.217393,253.8013106945207,258.05791200487806,
dsp3m2_22_m,1718098565.22545,252.9445596593004,257.8109679609531,
dsp3m2_22_m,1718098565.233506,251.9873155623732,257.56310050014247,
dsp3m2_22_m,1718098565.2415628,251.20848190892576,257.3142377467928,
dsp3m2_22_m,1718098565.24962,251.2019343755676,257.06432579289685,
dsp3m2_22_m,1718098565.2576761,251.1953868422094,256.8133305302535,
dsp3m2_22_m,1718098565.265733,251.1888393088512,256.56123703387595,
dsp3m2_22_m,1718098565.27379,251.182291775493,256.3080472459308,
dsp3m2_22_m,1718098565.281846,251.17574424213484,256.05377819036283,
dsp3m2_22_m,1718098565.2899032,251.16919670877667,255.79846117058943,
dsp3m2_22_m,1718098565.29796,251.1626491754185,255.5421411344089,
dsp3m2_22_m,1718098565.306016,251.01000336157745,255.28487647312105,
dsp3m2_22_m,1718098565.314073,250.97146275947495,255.02673986550914,
dsp3m2_22_m,1718098565.322129,250.9411804433332,254.76781972971366,
dsp3m2_22_m,1718098565.330186,251.10023871911875,254.50822220616672,
dsp3m2_22_m,1718098565.338243,251.32375980766304,254.2480733858154,
dsp3m2_22_m,1718098565.346299,251.43301787745432,253.98752191944908,
dsp3m2_22_m,1718098565.354356,251.23388868578013,253.7267419667941,
dsp3m2_22_m,1718098565.3624132,251.03475949410597,253.46593739751762,
dsp3m2_22_m,1718098565.370469,250.83563030243172,253.2053490084197,
dsp3m2_22_m,1718098565.378526,250.6365011107576,252.94526433330122,
dsp3m2_22_m,1718098565.386583,250.43737191908335,252.68602666263652,
dsp3m2_22_m,1718098565.394639,250.2382427274092,252.42803449324808,
dsp3m2_22_m,1718098565.402696,250.039113535735,252.17170257642772,
dsp3m2_22_m,1718098565.410753,250.1016788928885,251.91731194423565,
dsp3m2_22_m,1718098565.4188092,250.278915405,251.66460429035766,
dsp3m2_22_m,1718098565.4268658,250.2677151133865,251.41196680343674,
dsp3m2_22_m,1718098565.434922,250.14184251516355,251.12662975299853,
dsp3m2_22_m,1718098565.442979,249.93882033436532,250.81251200576048,
dsp3m2_22_m,1718098565.451036,249.3399781825956,250.5012633158111,
dsp3m2_22_m,1718098565.459092,248.99308366560305,250.1924611060048,
dsp3m2_22_m,1718098565.467149,248.79611377469865,249.8853470276375,
dsp3m2_22_m,1718098565.475206,248.5640493095488,249.57924269411762,
dsp3m2_22_m,1718098565.483262,248.22800817143252,249.2736367518744,
dsp3m2_22_m,1718098565.491319,247.8919670333163,248.96816393958983,
dsp3m2_22_m,1718098565.499376,247.48927493624453,248.66256684802187,
dsp3m2_22_m,1718098565.507432,246.74684881102095,248.3566652637466,
dsp3m2_22_m,1718098565.515489,245.88376672247412,248.05033510548947,
dsp3m2_22_m,1718098565.523545,245.1685908007156,247.74349480799114,
dsp3m2_22_m,1718098565.531602,244.64069188230576,247.4360956248417,
dsp3m2_22_m,1718098565.539659,244.4064299637334,247.12811358461596,
dsp3m2_22_m,1718098565.5477152,244.3477541474046,246.81954254795093,
dsp3m2_22_m,1718098565.556779,244.30183010195597,246.51038829508167,
dsp3m2_22_m,1718098565.564836,244.179077031603,246.2006641532522,
dsp3m2_22_m,1718098565.572892,243.73418847475503,245.89038848258474,
dsp3m2_22_m,1718098565.580949,242.98206745504385,245.57958439911604,
dsp3m2_22_m,1718098565.5890062,242.0190477642428,245.26828121678048,
dsp3m2_22_m,1718098565.5970619,241.144009754219,244.95651607187696,
dsp3m2_22_m,1718098565.605119,240.5748550467719,244.64433517376256,
dsp3m2_22_m,1718098565.613176,240.37426174076364,244.33179435092546,
dsp3m2_22_m,1718098565.621232,240.37261760646308,244.0189576405981,
dsp3m2_22_m,1718098565.629289,240.1905271698168,243.70589457774085,
dsp3m2_22_m,1718098565.637346,240.0487559116605,243.39267749735217,
dsp3m2_22_m,1718098565.6454022,239.73570986581865,243.07937913543512,
dsp3m2_22_m,1718098565.6534588,239.59793442270595,242.76607015183941,
dsp3m2_22_m,1718098565.661515,239.46037175673573,242.4528159813504,
dsp3m2_22_m,1718098565.669572,239.3228090907656,242.13967332338345,
dsp3m2_22_m,1718098565.677629,239.18524642479537,241.82668603613698,
dsp3m2_22_m,1718098565.685685,239.0476837588252,236.79366351093756,
dsp3m2_22_m,1718098565.693742,238.91012109285495,236.2713141618201,
dsp3m2_22_m,1718098565.701799,238.7725584268848,235.74910668662153,
dsp3m2_22_m,1718098565.709855,238.63499576091465,235.22681270965708,
dsp3m2_22_m,1718098565.717912,238.5506872266509,234.70437450751464,
dsp3m2_22_m,1718098565.7259688,238.4317133831663,234.18190276609386,
dsp3m2_22_m,1718098565.734025,238.17885251394307,233.65966154452502,239.55017655220152
dsp3m2_22_m,1718098565.742082,237.75921655800104,233.138048536857,
dsp3m2_22_m,1718098565.750138,237.1601389556841,232.61758185815293,
dsp3m2_22_m,1718098565.758195,236.47325092164405,232.0988996392201,
dsp3m2_22_m,1718098565.766252,236.04351072603544,231.582768228805,
dsp3m2_22_m,1718098565.7743082,235.64973879393207,231.07008392766,
dsp3m2_22_m,1718098565.7823648,235.25596686182868,230.56186431106875,
dsp3m2_22_m,1718098565.790421,234.8621949297253,230.05923315915814,237.16320852567677
dsp3m2_22_m,1718098565.7984781,234.4684229976219,229.56339474444385,
dsp3m2_22_m,1718098565.806535,234.0746510655185,229.075602591093,
dsp3m2_22_m,1718098565.814591,233.8388223263841,228.5971373268519,
dsp3m2_22_m,1718098565.822648,233.4920733559941,228.12929070771142,
dsp3m2_22_m,1718098565.830705,233.16449175733052,227.67335320667718,
dsp3m2_22_m,1718098565.8387609,232.94952630051668,227.23060194210072,
dsp3m2_22_m,1718098565.846818,232.79871723446612,226.8022817346969,234.6982983555932
dsp3m2_22_m,1718098565.8548748,232.8397160168531,226.38957230591035,
dsp3m2_22_m,1718098565.862931,232.78077934976687,225.99352836514393,
dsp3m2_22_m,1718098565.8709881,232.54430168423087,225.6150086503098,
dsp3m2_22_m,1718098565.879045,232.10494531379916,225.25461093130082,
dsp3m2_22_m,1718098565.887101,231.439763130261,224.91261533035907,
dsp3m2_22_m,1718098565.895158,230.75315440667327,224.5889495445193,
dsp3m2_22_m,1718098565.903214,230.13227364405736,224.28318581570997,232.15246966062378
dsp3m2_22_m,1718098565.9112709,229.69314691202,223.99456668742536,
dsp3m2_22_m,1718098565.919328,229.38214573352457,223.76734312459828,
dsp3m2_22_m,1718098565.9273841,229.2915669871341,223.55875497730418,
dsp3m2_22_m,1718098565.9354408,229.32016713874165,223.3618541390337,
dsp3m2_22_m,1718098565.943498,229.37144780250188,223.17163029700768,
dsp3m2_22_m,1718098565.951554,229.44004016198852,222.98507512682173,
dsp3m2_22_m,1718098565.959611,229.3988141761844,222.80051581907216,229.52349690902844
dsp3m2_22_m,1718098565.967668,229.36294009419493,222.61705151298796,
dsp3m2_22_m,1718098565.975724,229.19109860734784,222.43420517054736,
dsp3m2_22_m,1718098565.983781,228.8714110253704,222.25173182661823,
dsp3m2_22_m,1718098565.991837,228.55172344339292,222.06951816535357,
dsp3m2_22_m,1718098565.999894,228.23203586141548,221.88753048469061,
dsp3m2_22_m,1718098566.007951,227.8417552155749,221.7057874681833,
