__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718096567.196814,,,,-1.145031214,-1.145582080,87591.000000000,1718096567.196813822
1718096567.197821,,,,-1.141593456,-1.140293241,87592.000000000,1718096567.197820902
1718096567.198828,,,,-1.137362242,-1.136663079,87593.000000000,1718096567.198827982
1718096567.199835,,,,-1.130943418,-1.132504106,87594.000000000,1718096567.199835062
1718096567.200842,,,,-1.135246754,-1.137961268,87595.000000000,1718096567.200842142
1718096567.201151,2.093810320,18098.000000000,1718096567.201151371,,,,
1718096567.201849,,,,-1.134285092,-1.136206269,87596.000000000,1718096567.201849222
1718096567.202856,,,,-1.134116769,-1.137095809,87597.000000000,1718096567.202856302
1718096567.203863,,,,-1.138371944,-1.139644146,87598.000000000,1718096567.203863382
1718096567.204870,,,,-1.146521688,-1.146495700,87599.000000000,1718096567.204870462
1718096567.205878,,,,-1.167701483,-1.168156147,87600.000000000,1718096567.205877542
1718096567.206151,2.040817976,18099.000000000,1718096567.206151247,,,,
1718096567.206885,,,,-1.182318091,-1.180801511,87601.000000000,1718096567.206884623
1718096567.207892,,,,-1.181428671,-1.181114078,87602.000000000,1718096567.207891703
1718096567.208899,,,,-1.184553862,-1.185297132,87603.000000000,1718096567.208898783
1718096567.211151,2.040817976,18100.000000000,1718096567.211151361,,,,
1718096567.216955,,,,-1.159599781,-1.160559416,87611.000000000,1718096567.216955423
1718096567.217963,,,,-1.155464768,-1.157722592,87612.000000000,1718096567.217962503
1718096567.218970,,,,-1.162412524,-1.164453983,87613.000000000,1718096567.218969584
1718096567.219977,,,,-1.168086052,-1.165776134,87614.000000000,1718096567.219976664
1718096567.220323,2.076141119,18101.000000000,1718096567.220322609,,,,
1718096567.220984,,,,-1.180274725,-1.182364106,87615.000000000,1718096567.220983744
1718096567.221991,,,,-1.199290752,-1.200033903,87616.000000000,1718096567.221990824
1718096567.222998,,,,-1.218018293,-1.217222929,87617.000000000,1718096567.222997904
1718096567.224005,,,,-1.218330860,-1.219218254,87618.000000000,1718096567.224004984
1718096567.225012,,,,-1.210854292,-1.212847590,87619.000000000,1718096567.225012064
1718096567.225323,1.970170379,18102.000000000,1718096567.225322723,,,,
1718096567.226019,,,,-1.213618875,-1.214265943,87620.000000000,1718096567.226019144
1718096567.227026,,,,-1.240856886,-1.241888523,87621.000000000,1718096567.227026224
1718096567.228033,,,,-1.316752791,-1.318601847,87622.000000000,1718096567.228033304
1718096567.229040,,,,-1.362165451,-1.361826777,87623.000000000,1718096567.229040384
1718096567.230047,,,,-1.408347249,-1.408080816,87624.000000000,1718096567.230047464
1718096567.230323,2.058479548,18103.000000000,1718096567.230322599,,,,
1718096567.231055,,,,-1.448158383,-1.449959397,87625.000000000,1718096567.231054544
1718096567.232062,,,,-1.459337234,-1.460585356,87626.000000000,1718096567.232061625
1718096567.233069,,,,-1.440273166,-1.440439343,87627.000000000,1718096567.233068705
1718096567.234076,,,,-1.444335938,-1.445079207,87628.000000000,1718096567.234075785
1718096567.235083,,,,-1.435128450,-1.433756113,87629.000000000,1718096567.235082865
1718096567.235323,2.058479548,18104.000000000,1718096567.235322714,,,,
1718096567.236090,,,,-1.378609180,-1.377501249,87630.000000000,1718096567.236089945
1718096567.237097,,,,-1.312088966,-1.313048482,87631.000000000,1718096567.237097025
1718096567.238104,,,,-1.239895225,-1.241023064,87632.000000000,1718096567.238104105
1718096567.239111,,,,-1.172870159,-1.173805714,87633.000000000,1718096567.239111185
1718096567.240118,,,,-1.120726228,-1.119377971,87634.000000000,1718096567.240118265
1718096567.240323,2.129132509,18105.000000000,1718096567.240322590,,,,
1718096567.241125,,,,-1.079857349,-1.080143809,87635.000000000,1718096567.241125345
1718096567.242132,,,,-1.054807067,-1.055550337,87636.000000000,1718096567.242132425
1718096567.243140,,,,-1.038531661,-1.040597081,87637.000000000,1718096567.243139505
1718096567.244147,,,,-1.035358310,-1.035428286,87638.000000000,1718096567.244146585
1718096567.245154,,,,-1.052138567,-1.052473068,87639.000000000,1718096567.245153666
1718096567.245323,2.182114601,18106.000000000,1718096567.245322704,,,,
1718096567.249182,,,,-1.114619970,-1.115531445,87643.000000000,1718096567.249181986
1718096567.250189,,,,-1.109427214,-1.112959146,87644.000000000,1718096567.250189066
1718096567.250323,2.164453983,18107.000000000,1718096567.250322580,,,,
1718096567.251196,,,,-1.099258065,-1.101467729,87645.000000000,1718096567.251196146
1718096567.252203,,,,-1.100339890,-1.100145459,87646.000000000,1718096567.252203226
1718096567.253210,,,,-1.098416567,-1.100121498,87647.000000000,1718096567.253210306
1718096567.254217,,,,-1.094401836,-1.093606472,87648.000000000,1718096567.254217386
1718096567.255224,,,,-1.117841363,-1.119450092,87649.000000000,1718096567.255224466
1718096567.255323,2.252763510,18108.000000000,1718096567.255322695,,,,
1718096567.256232,,,,-1.152724147,-1.153515458,87650.000000000,1718096567.256231546
1718096567.257239,,,,-1.175610781,-1.176378012,87651.000000000,1718096567.257238626
1718096567.258246,,,,-1.183760524,-1.182436228,87652.000000000,1718096567.258245707
1718096567.259253,,,,-1.185852051,-1.187100172,87653.000000000,1718096567.259252787
1718096567.260260,,,,-1.189001441,-1.191932321,87654.000000000,1718096567.260259867
1718096567.260323,2.376387358,18109.000000000,1718096567.260322571,,,,
1718096567.261267,,,,-1.186909914,-1.187725186,87655.000000000,1718096567.261266947
1718096567.262274,,,,-1.179938078,-1.178469539,87656.000000000,1718096567.262274027
1718096567.263281,,,,-1.162316322,-1.160054564,87657.000000000,1718096567.263281107
1718096567.264288,,,,-1.138804674,-1.136398673,87658.000000000,1718096567.264288187
1718096567.265295,,,,-1.127217174,-1.124282241,87659.000000000,1718096567.265295267
1718096567.265323,2.570634842,18110.000000000,1718096567.265322685,,,,
1718096567.266302,,,,-1.122024417,-1.121204972,87660.000000000,1718096567.266302347
1718096567.267309,,,,-1.132482052,-1.134403229,87661.000000000,1718096567.267309427
1718096567.268317,,,,-1.156210065,-1.154933929,87662.000000000,1718096567.268316507
1718096567.270323,2.853149891,18111.000000000,1718096567.270322561,,,,
1718096567.273352,,,,-1.206791401,-1.205563307,87667.000000000,1718096567.273351908
1718096567.274359,,,,-1.267373562,-1.268164873,87668.000000000,1718096567.274358988
1718096567.275323,3.012047529,18112.000000000,1718096567.275322676,,,,
1718096567.275366,,,,-1.361323953,-1.362547994,87669.000000000,1718096567.275366068
1718096567.276373,,,,-1.393634439,-1.392526627,87670.000000000,1718096567.276373148
1718096567.277380,,,,-1.370243073,-1.369471669,87671.000000000,1718096567.277380228
1718096567.278387,,,,-1.350000858,-1.349349737,87672.000000000,1718096567.278387308
1718096567.279394,,,,-1.326200724,-1.325501561,87673.000000000,1718096567.279394388
1718096567.280323,3.312156439,18113.000000000,1718096567.280322552,,,,
1718096567.280401,,,,-1.293145061,-1.292373657,87674.000000000,1718096567.280401468
1718096567.281409,,,,-1.294130683,-1.293984413,87675.000000000,1718096567.281408548
1718096567.282416,,,,-1.323460102,-1.324371576,87676.000000000,1718096567.282415628
1718096567.283423,,,,-1.315887332,-1.317303658,87677.000000000,1718096567.283422709
1718096567.284430,,,,-1.315767169,-1.319275022,87678.000000000,1718096567.284429789
1718096567.285323,3.700474501,18114.000000000,1718096567.285322666,,,,
1718096567.285437,,,,-1.340216398,-1.342113495,87679.000000000,1718096567.285436869
1718096567.286444,,,,-1.342957020,-1.343315601,87680.000000000,1718096567.286443949
