vars,S1,S1_conf
f2_0,0.8278381370553484,0.0030086917425381087
f4_0,0.05165773901491256,0.004591958030535679
f6_01,0.007499010043612212,0.0019135893290904292
f8_01,0.0014033203096730958,0.0008311688414276939
f10_01,0.0007853177460267972,0.0006961556652823281
f12_01,8.985031052510014e-05,0.00047972731097526946
f14_01,5.142811852853568e-05,0.00043353297983919484
f16_02,-4.543130682027304e-05,0.0003639471381687631
f18_02,0.00020568892862420535,0.00046375682000690955
f20_02,1.076183347192383e-06,0.00039381874736865887
f22_02,-6.642672970864997e-05,0.00037829245064080615
f24_02,0.00014850889220728358,0.00044735150792422093
f26_03,0.0002699604510445677,0.0005025227364155055
f28_03,0.00024324851087192983,0.0005459141276256772
f30_03,0.00016203634131641562,0.000507194146321218
f32_03,0.000790680816451122,0.0007342106211231396
f34_03,0.00047981393056903047,0.000630198632963975
f36_04,0.0005913993892612746,0.0006631756464165682
f38_04,0.0005825358667991369,0.0006367181386956162
f40_04,0.0006323876922306417,0.0007133730349678678
f42_04,0.0009002230827654589,0.0007445796247649864
f44_04,0.0006867494612448934,0.00072095614505465
f46_04,0.00012282445621676006,0.0005117446961991406
f48_05,0.0003776735608399034,0.0005598592925752944
f50_05,0.02103922761617993,0.0029860917138442955
f52_05,0.000295619776217482,0.0005738543363099909
f54_05,7.553612799955948e-06,0.00043258497742807464
f56_05,0.0008367276678435515,0.000743087758367019
f58_06,0.00017521700952708352,0.0005230377689909836
f60_06,0.000444055594359808,0.0006266242472615512
f62_06,0.0013784102407182319,0.0009145891261622843
f64_06,0.0006895620338435412,0.0007005214007229027
f66_06,0.001332574768640043,0.0008884065649872854
f68_07,0.0005476733925892922,0.000668490533588982
f70_07,0.0004689830988349445,0.0006287173900055401
f72_07,0.0005688638818931661,0.0006754814067983413
f74_07,0.001164802733178693,0.0008410841343570819
f76_07,0.0002621916123473287,0.0005509171405058536
f78_08,0.00031279123182082483,0.0005926653217342614
f80_08,8.970305204922203e-05,0.0004987274999232904
f82_08,0.0005425284638686779,0.0006682507305308369
f84_08,0.0007217300300067145,0.0007214465493021983
f86_08,0.0003957525559800746,0.0006165937168957073
f88_09,0.0003790042014231535,0.0006116446505818766
f90_09,0.0006585336138166211,0.0007021945564644094
f92_09,0.000741528024499005,0.0007088225900469305
f94_09,0.0005452032047205658,0.0006627696306251192
f96_09,0.0001316887875895349,0.0005124103542357239
f98_1,0.00019670744346498214,0.0005454252610551791
f100_1,0.0005386283155097222,0.0006343671521427375
f102_1,6.020536829176397e-05,0.00047290426228848814
f104_1,0.0003462941361375153,0.0005217957199262337
f106_1,0.000496063696050632,0.0006267107242382815
f108_11,0.000308713874536303,0.0005462293855164837
f110_11,0.00019943449632421514,0.0005020898701357535
f112_11,7.94594451266179e-05,0.000471581281923236
f114_11,0.00016153901240410556,0.0005049982343927308
f116_11,6.663707192005382e-06,0.00043342570933290175
f118_12,0.0006890906912157779,0.0006637470445251249
f120_12,0.0005015862196569884,0.0006646861147654253
f122_12,0.00022701035142548722,0.0005366791091422989
f124_12,6.5767607161397e-05,0.0004238614620364628
f126_12,0.00047232406895617057,0.0006448389078391749
f128_13,0.0002257339451528802,0.0005351819569531977
f130_13,-0.00012769876785561344,0.00040821822086617546
f132_13,0.0001239977228035435,0.0004685503838534096
f134_13,0.00026418416726878865,0.0005053680130760391
f136_13,0.00020244268519257276,0.0005104901634591969
f138_13,1.90870401722338e-05,0.000437781857367268
f140_14,9.911805530409446e-05,0.0004816723189433508
f142_14,0.0002632791774983333,0.0005387313150819023
f144_14,0.00020962419043560782,0.0004685825068743386
f146_14,0.0006792646566929422,0.0006947889127910678
f148_14,0.00012269239861922496,0.0004869123343543405
f150_15,0.00020519457907884657,0.0005001910795622786
f152_15,0.00014975497196581262,0.00045442814579587987
f154_15,0.00023202500923956058,0.000492529525431208
f156_15,-1.7704631353477208e-05,0.00044344293001135184
f158_15,6.696129134057058e-05,0.00044842100322706386
f160_16,6.938558105753367e-05,0.00048557110271491195
f162_16,0.0002555997505165532,0.0005397483644284118
f164_16,7.632561069469639e-05,0.0004908563485927432
f166_16,-5.167476939173276e-05,0.0003728361861100113
f168_16,7.170265011653519e-05,0.00045284524864846077
f170_17,-9.283270066263511e-05,0.00036391174645240636
f172_17,0.0002102582244393517,0.0005074813024750544
f174_17,0.00018113937400807118,0.0005025994909633048
f176_17,8.276948395148995e-05,0.00048304708678047924
f178_17,-0.0001011906945627252,0.00041276862313388
f180_18,0.00014167678550429857,0.0004808376964047
f182_18,0.00026131245168192866,0.0004183796776818746
f184_18,0.00018923191124548265,0.00044394744116069476
f186_18,0.00016419050503173544,0.000495607029698893
f188_18,0.000287475470823787,0.0005034582458856603
f190_19,0.00011889348574320837,0.0005030885697777536
f192_19,9.81020528801738e-05,0.0004588205005494277
f194_19,0.0001853913515949879,0.0005410090097508916
f196_19,-0.00013175434502304904,0.00034795773594530115
f198_19,-6.435487922574497e-05,0.00036309896596689703
f200_2,-0.00011002945999488082,0.00038049721545248787
f202_2,9.422926950222976e-05,0.0004995041594795326
f204_2,3.0369985741466297e-05,0.00036427161902292157
f206_2,-6.033555178715824e-05,0.0004342998215065883
f208_2,6.046936677257353e-06,0.0003991251968954562
f210_21,0.000153577762992485,0.0004401121422948903
f212_21,0.0002735975805705366,0.0005335871799860969
f214_21,1.2914369203816383e-05,0.0004034563401315023
f216_21,-0.0001274955494951427,0.00037240881475797736
f218_21,-3.4022837821700614e-05,0.00037467616076871876
f220_22,-1.7381347982594307e-05,0.00040869036326139196
f222_22,-6.249671807487638e-05,0.0003893669548252405
f224_22,0.0001534413283296568,0.0004925144374724786
f226_22,2.7828246945016714e-05,0.0003519423151614166
f228_22,2.5841717150830988e-06,0.00042629484091557694
f230_22,-5.159727313570943e-05,0.000409255937101287
f232_23,5.2336711876503216e-06,0.0003898020528131273
f234_23,5.302006799164728e-05,0.00043213177632648073
f236_23,-7.716556328336757e-05,0.00037050559748906157
f238_23,4.5209440677299604e-07,0.0003933450413289756
f240_23,-3.83012129631801e-05,0.00039644666458609856
f242_24,-0.00012807019292058693,0.0003746007942230105
f244_24,-3.314607560974276e-05,0.0004277747454326286
f246_24,-0.00018993663210845947,0.0003647113124187932
f248_24,0.00015025012594837163,0.0004573180305649287
f250_24,-0.000137654079090236,0.00037848123235615993
f252_25,4.483172729153505e-05,0.000494738867957082
f254_25,0.00024453118267692576,0.0004800223084110549
f256_25,2.0461983012577526e-05,0.0003901703158622716
f258_25,5.979654367892299e-05,0.0004555030807607933
f260_25,-9.325112968864779e-05,0.00037672710982483086
f262_26,-6.572064771557821e-05,0.00038250499638664456
f264_26,2.8723468872697533e-05,0.00042035971533466035
f266_26,1.5027189182470393e-05,0.00039628040689350776
f268_26,-6.50501465826903e-06,0.00041882451902777994
f270_26,9.566009663850982e-05,0.00041968351396555833
f272_27,-7.404714580872722e-05,0.000419256718104323
f274_27,0.00035483600368135934,0.0004793348817263803
f276_27,0.00012209349831578635,0.00043718367835186964
f278_27,2.4490178575468002e-05,0.00046347911380031453
f280_27,-6.074710213410764e-05,0.00038569804202883356
f282_28,-4.81387511008216e-06,0.0004064064497781584
f284_28,5.233746972322208e-05,0.0004886386702365424
f286_28,-0.00011247173241714256,0.00037046271401336406
f288_28,-5.412170258198832e-05,0.0003861482164395769
f290_28,-6.5994074259474e-05,0.00039509324997910475
f292_29,0.00010383613463959803,0.00044548637791240724
f294_29,-4.106501523183236e-05,0.0004070509230446833
f296_29,-7.41627547700089e-05,0.00038467761881405636
f298_29,3.843189929948396e-05,0.000442665441873909
f300_29,-8.913598423098903e-05,0.0003924750214212731
f302_3,-9.25207120055298e-05,0.000390440654059462
f304_3,9.722743692744038e-06,0.00040186551411163066
f306_3,-0.00010197716911127021,0.000358407070923858
f308_3,-0.00017220573863025368,0.0003560369414088167
f310_3,0.00014437543854458744,0.00044388250709913166
f312_3,4.180085260241514e-05,0.00040915142031070135
f314_31,-0.00012640575780294933,0.0003992765387954848
f316_31,0.0002201334471047959,0.00045050219683814857
f318_31,0.00026293643072723954,0.00042194882190167194
f320_31,-0.00013426908345817685,0.0003694315796981087
f322_31,9.859685154469159e-05,0.0004758028221252824
f324_32,4.9227707404840375e-05,0.00035758791900512404
f326_32,0.0002223794699728713,0.0004957487865336642
f328_32,9.090996970081402e-05,0.0004416152146893095
f330_32,-7.405609600949026e-06,0.00041908983661738576
f332_32,-6.891620671963832e-05,0.0003976485616289419
f334_33,-7.392675337297038e-05,0.0004054495691343796
f336_33,6.79138045163625e-05,0.0003697200634411022
f338_33,2.7381571564480682e-05,0.00046055621212672747
f340_33,-8.59036758136559e-05,0.0004199157808745362
f342_33,-3.699258678302805e-05,0.00042059885840653466
f344_34,-0.00013778679458962764,0.0003913136498544367
f346_34,0.00012762222871676843,0.0004389507579616141
f348_34,-0.00014372545575064467,0.00036182237235464894
f350_34,-0.00019873112894286572,0.0003540226595093341
f352_34,2.5720706509482012e-06,0.0004012013236100998
f354_35,-5.30931637631062e-05,0.0003695268051816156
f356_35,-0.00013255988233440704,0.0003525706573740415
f358_35,7.170527530873992e-06,0.0004245745902338844
f360_35,-0.0001653683824591419,0.0003551440889474155
f362_35,7.130432712006672e-05,0.0004835862059996577
f364_36,9.216127248575374e-05,0.0004024300628346272
f366_36,-6.36139753181173e-05,0.00039274449187378096
f368_36,3.859111369868218e-05,0.00038646113967322855
f370_36,-4.627191879778131e-05,0.0004147202125022827
f372_36,-0.00013931753527033586,0.00038237245552650716
f374_37,4.988033597393284e-05,0.0004823527534750732
f376_37,-1.8182377731112607e-05,0.0004283093474415837
f378_37,-0.00015018075284520176,0.0003776909796439799
f380_37,0.00012155503633227977,0.0004103212943573486
f382_37,-7.006165334600076e-05,0.0004241554566844242
f384_38,2.8233339023113252e-05,0.00044596816971432325
f386_38,-1.738232144892155e-05,0.00043726562911243
f388_38,8.296723073574614e-05,0.00042304665788420724
f390_38,-3.3608699557997705e-05,0.0004359335855972825
f392_38,-0.00010098161263049713,0.0004118975288031414
f394_39,-6.360719865972626e-05,0.0003469227230915233
f396_39,-0.0001334905613602949,0.00036342099842534006
f398_39,2.2367284666565193e-05,0.0004015254734511021
f400_39,0.00015249739388360686,0.00047622232678984827
f402_39,6.041993453662542e-05,0.0004256197813396167
f404_39,-0.0001392971667191761,0.00038630399313804056
f406_4,-0.00011189134182062977,0.0003752103857637774
f408_4,-0.0001228439282245262,0.0003643356338070991
f410_4,6.901455752391858e-05,0.00045827193926042866
f412_4,7.807475219424089e-05,0.0004315082129828726
f414_4,5.4416756739564514e-05,0.000439902107709557
f416_41,-2.6826574823993774e-05,0.000352078199546855
f418_41,-6.766120647550624e-05,0.00040883922920364004
f420_41,-8.82006869891811e-05,0.0003621079236949453
f422_41,-0.00014107942673799657,0.0003758626411430501
f424_41,-0.00016422681639025413,0.0003867063009754813
f426_42,-0.00016863775451565302,0.0003579652684199968
f428_42,1.3651397432740847e-05,0.0004165670819186258
f430_42,1.3547183049325356e-05,0.00046902548156988513
f432_42,-3.862079094704284e-05,0.0003877175403595675
f434_42,-2.2985701428017175e-05,0.00041164766951462485
f436_43,8.482959040389561e-05,0.0004090028570229814
f438_43,-0.00013668407720309413,0.0003913987643562173
f440_43,0.0001019159667485638,0.0004069631860675209
f442_43,9.304623616995675e-05,0.00041726983844784724
f444_43,-4.9045487757688896e-05,0.00040324028684206445
f446_44,7.581857425604063e-05,0.0004739846141035232
f448_44,3.997020082582972e-05,0.00046211311681259334
f450_44,9.621563623278816e-05,0.0004075475738394593
f452_44,-3.773096767876338e-05,0.000367331975391782
f454_44,8.739529989180593e-05,0.0004504394184259535
f456_45,-0.00011236380527194457,0.0003853826156903025
f458_45,2.198192007991874e-05,0.0003993896502344769
f460_45,-2.47198413040403e-05,0.00041838120019965043
f462_45,0.00017806162915595702,0.0004064927590222682
f464_45,7.55759899206501e-05,0.0004769677516193303
f466_46,4.486203699844533e-06,0.00040407703371550833
f468_46,-3.2113695663113766e-05,0.0004261641806738619
f470_46,-4.082122910129839e-05,0.00039560014504784095
f472_46,0.00015324494940475536,0.00048281007896545903
f474_46,1.321278604089754e-05,0.00038271129986711594
f476_47,-6.700957560870315e-05,0.00039829852540181217
f478_47,-6.419876348800633e-05,0.0004143955665556144
f480_47,6.608162070578311e-05,0.0004198832628107475
f482_47,2.912434667119479e-05,0.0004648137195195998
f484_47,-0.00014045267882499914,0.0003769794248569579
f486_48,8.72391080397156e-05,0.00043451714216712403
f488_48,0.00016476734433948083,0.0004586275777945053
f490_48,-0.0001079524252967717,0.0003722114744490408
f492_48,-2.0787950357788372e-05,0.00039975168992393667
f494_48,0.0001397491349622103,0.00041010711729995496
f496_48,5.7874086428025566e-05,0.0004436407436971991
decay,0.03451291711519502,0.0039033478517558826
window,0.004439450797600255,0.0014955831470051385
