vars,ST,ST_conf,S1,S1_conf
freqs,0.9545266199052072,0.0076905244254350386,0.9521173686056603,0.00960606622975932
decay,0.04216412464765568,0.0005552870510221962,0.037516641412060694,0.0021996515155736952
window,0.010040071370864457,0.0001492348045652218,0.004099054999051816,0.0010887807772885412
