vars,ST,ST_conf,S1,S1_conf
freqs,0.8798781666445764,0.0075312209121288515,0.8777115255746271,0.009227971773308391
decay,0.10390166890215871,0.0013168195636907502,0.09395921287161597,0.003394330027644018
window,0.027879440454705653,0.0004193967689497946,0.017085136659579905,0.0018124629900971715
