vars,ST,ST_conf,S1,S1_conf
freqs,0.14387714643786145,0.002926161385649659,0.14179589066098583,0.004688462422188205
decay,0.23889300045019932,0.005080568208370202,0.20907397295448804,0.006564355486148927
window,0.6483557945114784,0.00961387203650186,0.6175367667712864,0.020122801795031064
