vars,S1,S1_conf
f2_0,0.00025107552531365777,0.000528557953582726
f4_0,4.694616362473124e-06,0.0004368571226894373
f6_01,0.00030346678810904017,0.00046574166880427
f8_01,0.0004506044339701142,0.0006215250676891362
f10_01,6.914668144638165e-05,0.0004653001607115892
f12_01,0.00016471263497242898,0.0005469884529295621
f14_01,-6.267374900492995e-05,0.0004100582791777487
f16_02,0.0001417983614942768,0.00047186488056899804
f18_02,0.001165706439652942,0.0008685560909635953
f20_02,0.0024043591373726567,0.001139693600696762
f22_02,0.002289025781817166,0.0011447072194223492
f24_02,0.0026472483616589763,0.0012004734303097473
f26_03,0.017574993910079724,0.00279396560879586
f28_03,0.017133919621483636,0.0027920810213893444
f30_03,0.003594994655131863,0.001349876172513094
f32_03,0.030591808500090887,0.0036643522334584757
f34_03,0.005463868428689439,0.0016090901425836195
f36_04,0.00440027036600458,0.0014749713567894754
f38_04,0.03789058381843046,0.0040646483677487955
f40_04,0.0077349990260195435,0.0019571785155029333
f42_04,0.005743666463048257,0.0016888710715440218
f44_04,0.006386876406795901,0.001765483765178109
f46_04,0.025632258665598047,0.0033638966940966746
f48_05,0.011977527443634405,0.0023526534905318405
f50_05,0.0014570232588181444,0.0009077642478209766
f52_05,0.007816732923426925,0.0019528197967964176
f54_05,0.0363683901191747,0.003994399652795292
f56_05,0.005021361386201389,0.0015465089348060516
f58_06,0.05278925077885819,0.004711166774161073
f60_06,0.00912868126498079,0.002078844824600689
f62_06,0.00535114907508437,0.0016005292754995338
f64_06,0.01857724247328298,0.002899105264948458
f66_06,0.011174775447884557,0.0023028015230111827
f68_07,0.007203152685327845,0.0018540162351117703
f70_07,0.02278286639291504,0.0031902891702940877
f72_07,0.0322398507031661,0.0037166803722385082
f74_07,0.029531648463305818,0.0036586317008451114
f76_07,0.007274439585984013,0.001884190607188214
f78_08,0.02999736956907772,0.0037388631647706843
f80_08,0.016167322591734673,0.002758493267508447
f82_08,0.017748337219215062,0.002880788195230915
f84_08,0.02148940254632376,0.003133757030607277
f86_08,0.012983516062643134,0.002459584534267319
f88_09,0.020681372354638378,0.003092877991777968
f90_09,0.024955985212916375,0.003416875217720774
f92_09,0.009108999656637416,0.002073698468882062
f94_09,0.00728270921030894,0.0018866203625932832
f96_09,0.017055954901819246,0.002805829361860616
f98_1,0.014305701770923447,0.002576252373442954
f100_1,0.006419655494114252,0.0017677716152735027
f102_1,0.03457669249281027,0.003851378724435211
f104_1,0.013282770125463807,0.002478041248622038
f106_1,0.006520485737383537,0.0017709908890014238
f108_11,0.009182581206146529,0.00210058258176953
f110_11,0.017551128967929822,0.0028100362702807064
f112_11,0.027020770554698037,0.0034475522119394885
f114_11,0.025179260357145537,0.0033912074089289352
f116_11,0.006453241323360186,0.0017570152069579339
f118_12,0.007784758204427596,0.0019507856091359951
f120_12,0.008174595944686518,0.002007739388889959
f122_12,0.0037320175121701026,0.001363376153429877
f124_12,0.015044236607257898,0.002625758784674612
f126_12,0.007261656200327887,0.0018546012479017594
f128_13,0.0019066661690625925,0.0010440111783201066
f130_13,0.004689371567307138,0.0015371535755616234
f132_13,0.002884241608248522,0.0012141733136104775
f134_13,0.004617116157362955,0.0015095753907812793
f136_13,0.0013598872584785124,0.0008803770754132645
f138_13,0.003975211380142941,0.0014244391456922389
f140_14,0.0074094024056697416,0.001889858343246782
f142_14,0.004489277810000581,0.0015165200426333568
f144_14,0.003599612814775225,0.0013321245705368084
f146_14,0.0005532928119701258,0.0006448323076047058
f148_14,0.0039832460347814635,0.0014282241668998692
f150_15,0.006333020817370223,0.0017514816813042758
f152_15,0.001043659995027385,0.0008310150120023886
f154_15,0.002715434597466291,0.0011948294686192815
f156_15,0.0022739515308647816,0.0011199808040450868
f158_15,0.001730973014140913,0.0009821205499852598
f160_16,0.0016607396993115725,0.000990775831342561
f162_16,0.003047436088853013,0.001269085677547884
f164_16,0.0020563026423339173,0.0010535287003272482
f166_16,0.0012166510874132305,0.0008109711118075428
f168_16,0.0012731616854666464,0.0008953462642846249
f170_17,0.000522062277239701,0.0006712879052659911
f172_17,0.00025291984125535866,0.0005403815770449606
f174_17,0.0030555247345212862,0.0012512058117990612
f176_17,0.0012974534657183411,0.0008846176451167352
f178_17,8.615479516325519e-05,0.000446645752252973
f180_18,0.0005545913482961803,0.0006825244085926277
f182_18,0.001804669054385196,0.0009720103504916417
f184_18,0.0009003260449813062,0.000786096297886722
f186_18,0.0007217077486602506,0.0006886634952894479
f188_18,0.0004792464313601726,0.0006359459613960492
f190_19,0.0014795666143013497,0.0009388716845580815
f192_19,0.0007383567622732097,0.0007448893546777246
f194_19,0.0005454045979340894,0.0006632291822192765
f196_19,0.0013778380174186394,0.0009146029969013358
f198_19,0.00016992625228229042,0.0005183965679528228
f200_2,0.0008972658757745846,0.0006287290244194225
