measure_time,emg_ch_1,grip_force_inter
1673607822.734125,42.626621,-1.270335
1673607822.735132,42.630085,-1.2341494945568987
1673607822.736139,42.634819,-1.2330562879479292
1673607822.737146,42.638618,-1.2319633401473429
1673607822.738153,42.636311,-1.2308701335383734
1673607822.739161,42.63958,-1.229775891695873
1673607822.740168,42.643883,-1.2286826850869037
1673607822.741175,42.644341,-1.2275897372863172
1673607822.742182,42.639843,-1.2264965306773479
1673607822.743189,42.632153,-1.2254033240683784
1673607822.744196,42.622341,-1.224310376267792
1673607822.745203,42.620972,-1.2232171696588225
1673607822.74621,42.617462,-1.2221239630498533
1673607822.747217,42.614456,-1.2210310152492667
1673607822.748224,42.612606,-1.2199378086402974
1673607822.749231,42.613232000000004,-1.2188446020313282
1673607822.751246,42.614552,-1.2166574123882412
1673607822.752253,42.618519,-1.2155642057792717
1673607822.75326,42.624699,-1.2144712579786854
1673607822.754267,42.630348,-1.213378051369716
1673607822.755274,42.633064,-1.2122848447607466
1673607822.756281,42.634987,-1.2111918969601603
1673607822.757288,42.635708,-1.2100986903511908
1673607822.758295,42.639988,-1.2090054837422215
1673607822.759302,42.642513,-1.207912535941635
1673607822.760309,42.641071,-1.2068193293326657
1673607822.761316,42.631741,-1.2057261227236964
1673607822.762323,42.624889,-1.2046331749231098
1673607822.76333,42.611477,-1.2035399683141406
1673607822.764338,42.609119,-1.20244572647164
1673607822.765345,42.614674,-1.2013525198626707
1673607822.766352,42.61359,-1.2002595720620841
1673607822.767359,42.61227,-1.1991663654531148
1673607822.768366,42.615925,-1.1980731588441456
1673607822.769373,42.614311,-1.196980211043559
1673607822.77038,42.613663,-1.1958870044345897
1673607822.771387,42.615517,-1.1947937978256205
1673607822.772394,42.619099,-1.193700850025034
1673607822.773401,42.623016,-1.1926076434160646
1673607822.774408,42.629097,-1.1915144368070953
1673607822.775415,42.6315,-1.1904214890065088
1673607822.77743,42.632343,-1.188234040555039
1673607822.778437,42.629627,-1.1871410927544523
1673607822.779444,42.632221,-1.186047886145483
1673607822.780451,42.630253,-1.1849546795365138
1673607822.781458,42.627296,-1.1838617317359272
1673607822.782465,42.624409,-1.182768525126958
1673607822.783472,42.62138,-1.1816753185179887
1673607822.784479,42.617199,-1.1805823707174021
1673607822.785486,42.611645,-1.1733510176442536
1673607822.786493,42.607029,-1.161792
1673607822.7875,42.600440999999996,-1.161792
1673607822.788507,42.596764,-1.1479729356223176
1673607822.789515,42.600201,-1.1467825293276108
1673607822.790522,42.605537,-1.1439585451728247
1673607822.791529,42.606499,-1.0967375655698617
1673607822.792536,42.613304,-1.107525
1673607822.793543,42.620682,-1.0923950252681764
1673607822.79455,42.629387,-1.0677301322301713
1673607822.795557,42.637077,-1.059175778997985
1673607822.796564,42.640446,-1.0506214257657984
1673607822.797571,42.631767,-1.042069097711934
1673607822.798578,42.631599,-1.0335147444797474
1673607822.799585,42.626839,-1.024960391247561
1673607822.800592,42.622726,-1.0164080631936967
1673607822.8016,42.620541,-1.0078456092482222
1673607822.802607,42.617893,-0.9992912560160356
1673607822.803614,42.615517,-0.9907389279621712
1673607822.804621,42.614891,-0.9821845747299848
1673607822.805628,42.610588,-0.9736302214977983
1673607822.806635,42.608349,-0.9650778934439339
1673607822.807642,42.606861,-0.9565235402117475
1673607822.808649,42.604816,-0.947969186979561
1673607822.809656,42.609673,-0.9394168589256965
1673607822.810663,42.612366,-0.93086250569351
1673607822.81167,42.612724,-0.9223081524613236
1673607822.812677,42.614311,-0.9137558244074592
1673607822.813684,42.614937,-0.9052014711752727
1673607822.814692,42.62138,-0.8966390172297982
1673607822.815699,42.623615,-0.8880846639976117
1673607822.816706,42.622608,-0.8795323359437472
1673607822.817713,42.619579,-0.8709779827115608
1673607822.81872,42.612389,-0.8624236294793743
1673607822.819727,42.604218,-0.8538713014255099
1673607822.820734,42.595562,-0.8453169481933235
1673607822.821741,42.58955,-0.836762594961137
