measure_time,emg_ch_1,grip_force_inter
1670929113.793357,2.034898,1.499179
1670929113.7943637,2.02884,1.4994205317119695
1670929113.7953708,2.023527,1.535357
1670929113.796378,2.017277,1.535357
1670929113.7973847,2.010521,1.5343563686218409
1670929113.7983918,2.005304,1.50169814401526
1670929113.799399,1.995736,1.5692668662693683
1670929113.8004057,1.982923,1.5181478655221745
1670929113.8014128,1.983836,1.5323292274678113
1670929113.80242,1.988692,1.4879224635193133
1670929113.8034267,1.998765,1.589633
1670929113.8044338,2.018382,1.5840664615384616
1670929113.8054419,2.037855,1.571544
1670929113.8064487,2.056126,1.5484548879598663
1670929113.8074558,2.078604,1.520846043956044
1670929113.8084629,2.083532,1.5619680400572247
1670929113.8094697,2.071752,1.4892483761620978
1670929113.8104768,2.067666,1.5537754956382919
1670929113.8114839,2.066776,1.556547984833799
1670929113.8124907,2.057208,1.5593198176634928
1670929113.8134978,2.045909,1.562092306859
1670929113.8145049,2.040812,1.5648647960545072
1670929113.8155117,2.032999,1.567636628884201
1670929113.8165188,2.019176,1.5704091180797082
1670929113.8175268,2.0073,1.5731842327384686
1670929113.818534,2.003357,1.5759567219339758
1670929113.8195407,2.007372,1.5787285547636696
1670929113.8205478,2.006266,1.5815010439591768
1670929113.821555,2.010281,1.584273533154684
1670929113.8225617,2.039778,1.5870453659843777
1670929113.8235688,2.065045,1.589817855179885
1670929113.824576,2.066632,1.5925903443753922
1670929113.8255827,2.058867,1.5953621772050859
1670929113.8265898,2.049611,1.598134666400593
1670929113.827597,2.050669,1.6009071555961
1670929113.8286037,2.060021,1.603678988425794
1670929113.8296108,2.052111,1.6064514776213012
1670929113.8306189,2.041485,1.6092265922800617
1670929113.8316257,2.040163,1.6119984251097554
1670929113.8326328,2.062978,1.6147709143052627
1670929113.8336399,2.06906,1.6175434035007696
1670929113.8346467,2.045428,1.6203152363304636
1670929113.8356538,2.021892,1.6230877255259708
1670929113.8366609,2.007636,1.6258602147214778
1670929113.8376677,2.005256,1.6286320475511717
1670929113.8386748,1.995039,1.631404536746679
1670929113.8396819,1.980975,1.634177025942186
1670929113.8406887,1.984509,1.63694885877188
1670929113.8416958,2.000063,1.6397213479673869
1670929113.8427038,2.016459,1.6424964626261473
1670929113.843711,2.035716,1.6452689518216546
1670929113.8447177,2.051318,1.6480407846513485
1670929113.8457248,2.054443,1.6508132738468555
1670929113.846732,2.056703,1.6535857630423627
1670929113.8477387,2.055285,1.6563575958720564
1670929113.8487458,2.054732,1.6591300850675637
1670929113.849753,2.060453,1.6619025742630709
1670929113.8507597,2.061968,1.6646744070927646
1670929113.8517668,2.053025,1.6674468962882718
1670929113.852774,2.042423,1.670219385483779
1670929113.8537807,2.035379,1.6729912183134727
1670929113.8547878,2.03586,1.67576370750898
1670929113.8557959,2.036942,1.6785388221677404
1670929113.8568027,2.03146,1.6638819847437425
1670929113.8578098,2.025402,1.6521250174058177
1670929113.8588169,2.021724,1.645280181211254
1670929113.8598237,2.020979,1.617331511683357
1670929113.8608308,2.020762,1.607722
1670929113.8618379,2.023046,1.607722
1670929113.8628447,2.026604,1.6165810381497376
1670929113.8638518,2.030523,1.625811
1670929113.8648589,2.036725,1.625811
1670929113.8658657,2.046414,1.6280461680415343
1670929113.8668728,2.052809,1.6324538943755407
1670929113.8678808,2.058458,1.636865794692818
1670929113.868888,2.062737,1.6412735210268243
1670929113.8698947,2.062184,1.6439
1670929113.8709018,2.061896,1.6514047353361945
1670929113.871909,2.057737,1.6772390738271017
1670929113.8729157,2.047183,1.7004238513227565
1670929113.8739228,2.041149,1.7057376417281767
1670929113.87493,2.03134,1.711051432133597
1670929113.8759367,2.023839,1.7163639645393947
1670929113.8769438,2.021027,1.7216777549448148
1670929113.877951,2.017926,1.726991545350235
1670929113.8789577,2.018118,1.7323040777560326
1670929113.8799648,2.024777,1.7376178681614527
1670929113.8809729,2.021532,1.742936690565363
1670929113.8819797,2.025931,1.7482492229711606
1670929113.8829868,2.029681,1.7535630133765807
1670929113.8839939,2.035379,1.758876803782001
1670929113.8850007,2.040187,1.7641893361877987
1670929113.8860078,2.044346,1.7695031265932188
1670929113.8870149,2.046173,1.774816916998639
1670929113.8880217,2.057953,1.7801294494044366
1670929113.8890288,2.064156,1.7854432398098568
1670929113.8900359,2.059732,1.790757030215277
1670929113.8910427,2.059444,1.7960695626210748
1670929113.8920498,2.056583,1.8013833530264949
1670929113.8930578,2.04526,1.806702175430405
1670929113.894065,2.038288,1.8120159658358252
1670929113.8950717,2.034369,1.817328498241623
1670929113.8960788,2.023383,1.822642288647043
1670929113.897086,2.013045,1.8279560790524632
1670929113.8980927,2.00879,1.8332686114582608
1670929113.8990998,2.011915,1.8385824018636812
1670929113.900107,2.018094,1.8438961922691013
1670929113.9011137,2.021484,1.849208724674899
1670929113.9021208,2.027205,1.854522515080319
1670929113.903128,2.029225,1.8598363054857392
1670929113.9041348,2.02634,1.8651488378915368
1670929113.9051418,2.031364,1.8704626282969572
1670929113.9061499,2.043505,1.8757814507008672
1670929113.9071567,2.05978,1.8810939831066649
1670929113.9081638,2.067185,1.8864077735120852
