measure_time,emg_ch_1,grip_force_inter
1670925209.146174,3.457826,-0.959628
1670925209.147181,3.451984,-1.0502113611442192
1670925209.148188,3.45333,-1.068171
1670925209.149195,3.464437,-1.068171
1670925209.150202,3.478092,-1.068171
1670925209.15121,3.49581,-1.0701251070577014
1670925209.152217,3.516725,-1.1201166008583692
1670925209.153224,3.533818,-1.068171
1670925209.154231,3.543002,-1.0680335667850813
1670925209.155238,3.556224,-1.0656051966319369
1670925209.156245,3.563677,-1.0631762514444205
1670925209.157252,3.563556,-1.0607473062569042
1670925209.158259,3.55644,-1.05831893610376
1670925209.159266,3.543699,-1.0558899909162434
1670925209.160273,3.534299,-1.053461045728727
1670925209.16128,3.521942,-1.0510326755755828
1670925209.162287,3.503984,-1.0486037303880664
1670925209.163295,3.484463,-1.0461724850630618
1670925209.164302,3.473236,-1.0437435398755455
1670925209.165309,3.462923,-1.041315169722401
1670925209.166316,3.454581,-1.0388862245348847
1670925209.167323,3.454051,-1.0364572793473683
1670925209.16833,3.458355,-1.0340289091942239
1670925209.169337,3.468885,-1.0315999640067075
1670925209.170344,3.482876,-1.0291710188191912
1670925209.171351,3.497228,-1.0267426486660467
1670925209.172358,3.519153,-1.0243137034785303
1670925209.173365,3.536992,-1.021884758291014
1670925209.174372,3.547906,-1.0194563881378695
1670925209.175379,3.556224,-1.0170274429503532
1670925209.176387,3.561753,-1.0145961976253486
1670925209.177394,3.561801,-1.0121678274722044
1670925209.178401,3.55769,-1.009738882284688
1670925209.179408,3.545526,-1.0073099370971716
1670925209.180415,3.534059,-1.0048815669440272
1670925209.181422,3.520452,-1.0024526217565108
1670925209.182429,3.50497,-1.0000236765689945
1670925209.183436,3.489247,-0.99759530641585
1670925209.184443,3.473693,-0.990949861230329
1670925209.18545,3.464149,-0.987715061516452
1670925209.186457,3.458283,-1.0241407785458878
1670925209.187464,3.451407,-1.055326688602766
1670925209.188472,3.454797,-1.051997001430615
1670925209.189479,3.462394,-1.013904
1670925209.190486,3.477323,-1.013904
1670925209.191493,3.497132,-1.0427584134477825
1670925209.1925,3.515403,-1.0925484506437768
1670925209.193507,3.532232,-1.068171
1670925209.194514,3.545935,-1.068171
1670925209.195521,3.557786,-1.068171
1670925209.196528,3.563436,-1.068171
1670925209.197535,3.563172,-1.068171
