measure_time,emg_ch_1,grip_force_inter
1670926173.068865,7.321878,-0.869183
1670926173.069872,7.320821,-0.8328798657606103
1670926173.070879,7.318489,-0.8156713432657926
1670926173.071887,7.322263,-0.8683893958035289
1670926173.0728939,7.325989,-0.8345706430615164
1670926173.073901,7.323754,-0.8859697644815255
1670926173.074908,7.323634,-0.8503176480686695
1670926173.0759149,7.326037,-0.8348078617072008
1670926173.076922,7.331855,-0.869183
1670926173.077929,7.328947,-0.869183
1670926173.0789359,7.33111,-0.869183
1670926173.079943,7.330269,-0.869183
1670926173.08095,7.327168,-0.869183
1670926173.0819569,7.325749,-0.869183
1670926173.082964,7.321301,-0.869183
1670926173.083972,7.321422,-0.869183
1670926173.084979,7.318176,-0.8786631196948022
1670926173.085986,7.317407,-0.8907655836909871
1670926173.086993,7.317527,-0.8810540410011919
1670926173.088,7.317191,-0.9493887806390081
1670926173.089007,7.319859,-0.9077159341917025
1670926173.090014,7.320821,-0.863810200476758
1670926173.091021,7.315845,-0.851460585383299
1670926173.092028,7.316782,-0.8526747736763748
1670926173.093035,7.322263,-0.8538892494873982
1670926173.094042,7.326591,-0.8551037252984217
1670926173.095049,7.328105,-0.8563179135914974
1670926173.096056,7.327816,-0.8575323894025209
1670926173.097064,7.327985,-0.8587480152853351
1670926173.0980709,7.328345,-0.8599622035784109
1670926173.099078,7.330629,-0.8611766793894343
1670926173.100085,7.331495,-0.8623911552004577
1670926173.1010919,7.329379,-0.8636053434935336
1670926173.102099,7.325148,-0.864819819304557
1670926173.103106,7.323609,-0.8660342951155805
1670926173.1041129,7.32296,-0.8672484834086562
1670926173.10512,7.322937,-0.8684629592196796
1670926173.106127,7.320773,-0.8696774350307032
1670926173.1071339,7.320172,-0.8708916233237789
1670926173.108141,7.316494,-0.8721060991348023
1670926173.109149,7.321301,-0.8733217250176165
1670926173.110156,7.322191,-0.87453620082864
1670926173.111163,7.31534,-0.8757503891217158
1670926173.11217,7.319979,-0.8769648649327392
1670926173.113177,7.327168,-0.8781793407437627
1670926173.114184,7.329187,-0.8793935290368384
1670926173.115191,7.328514,-0.880608004847862
1670926173.116198,7.325292,-0.8818224806588854
1670926173.117205,7.327624,-0.8830366689519611
1670926173.118212,7.32772,-0.8842511447629846
1670926173.119219,7.330437,-0.885465620574008
1670926173.120226,7.330149,-0.8866798088670838
1670926173.121233,7.328995,-0.8878942846781073
1670926173.122241,7.327744,-0.8891099105609215
1670926173.1232479,7.327961,-0.8903240988539972
1670926173.124255,7.329331,-0.8915385746650206
1670926173.125262,7.324811,-0.8927530504760441
1670926173.1262689,7.323273,-0.8939672387691199
1670926173.127276,7.323754,-0.8951817145801434
1670926173.128283,7.319931,-0.8963961903911668
1670926173.1292899,7.319354,-0.8976103786842425
1670926173.130297,7.323345,-0.8988248544952661
1670926173.131304,7.323994,-0.9000393303062895
1670926173.1323109,7.326519,-0.9012535185993653
1670926173.133318,7.322816,-0.9024679944103887
1670926173.134326,7.326254,-0.9036836202932029
1670926173.135333,7.323537,-0.9048980961042263
1670926173.13634,7.326182,-0.9166283556615018
1670926173.137347,7.329235,-0.8892646366237482
1670926173.138354,7.332697,-0.8807075131139723
1670926173.139361,7.331759,-0.9105656300357569
1670926173.140368,7.328393,-0.8881259871244636
1670926173.141375,7.32772,-0.8843231849148419
1670926173.142382,7.331759,-0.887272
1670926173.143389,7.3295959999999996,-0.8759101524324324
1670926173.144396,7.324715,-0.910285472289808
1670926173.145403,7.322239,-0.887272
1670926173.14641,7.322672,-0.887272
1670926173.147418,7.320821,-0.8875063271273637
1670926173.1484249,7.321783,-0.8879110565583889
1670926173.149432,7.321301,-0.88831588182873
1670926173.150439,7.320893,-0.8887207070990711
1670926173.1514459,7.319715,-0.8891254365300965
1670926173.152453,7.31945,-0.8895302618004376
1670926173.15346,7.319258,-0.8899350870707787
1670926173.1544669,7.323514,-0.8903398165018039
1670926173.155474,7.332793,-0.8907446417721452
1670926173.156481,7.331831,-0.8911494670424863
1670926173.1574879,7.331952,-0.8915541964735115
1670926173.158495,7.334211,-0.8919590217438527
1670926173.159503,7.330726,-0.8923642303714574
1670926173.16051,7.326855,-0.8927690556417986
1670926173.161517,7.326422,-0.8931737850728239
1670926173.162524,7.327143,-0.893578610343165
1670926173.163531,7.328514,-0.8939834356135061
1670926173.164538,7.318777,-0.8943881650445314
1670926173.165545,7.316782,-0.8947929903148726
1670926173.166552,7.315291,-0.8951978155852137
1670926173.167559,7.314209,-0.8956025450162389
1670926173.168566,7.313681,-0.8960073702865802
1670926173.169573,7.31106,-0.8964121955569213
1670926173.17058,7.312863,-0.8968169249879465
1670926173.171587,7.317888,-0.8972217502582877
1670926173.172595,7.321085,-0.8976269588858924
1670926173.1736019,7.32296,-0.8980316883169177
1670926173.174609,7.325196,-0.8984365135872588
1670926173.175616,7.326807,-0.8988413388576
1670926173.1766229,7.327937,-0.8992460682886252
1670926173.17763,7.328057,-0.8996508935589664
1670926173.178637,7.329067,-0.9000557188293076
1670926173.1796439,7.331398,-0.9004604482603328
1670926173.180651,7.328393,-0.9008652735306739
1670926173.181658,7.329427,-0.901270098801015
1670926173.1826649,7.327672,-0.9016748282320404
1670926173.183672,7.326663,-0.9020796535023815
1670926173.18468,7.324066,-0.9024848621299862
1670926173.185687,7.318873,-0.9028896874003274
1670926173.186694,7.318345,-0.9032944168313527
1670926173.187701,7.318104,-0.9036992421016938
1670926173.188708,7.316974,-0.904104067372035
1670926173.189715,7.317167,-0.9045087968030602
1670926173.190722,7.32058,-0.9049136220734013
1670926173.191729,7.322239,-0.9053184473437426
1670926173.192736,7.32397,-0.8727706157330155
1670926173.193743,7.325965,-0.8856071564139246
1670926173.19475,7.324739,-0.8541649031950406
1670926173.195757,7.325365,-0.8741438628762542
1670926173.196765,7.33224,-0.882825372909699
1670926173.197772,7.331591,-0.8651867690376569
1670926173.1987789,7.326639,-0.8801574979079497
1670926173.199786,7.324499,-0.869183
1670926173.200793,7.324619,-0.869183
1670926173.2017999,7.326037,-0.8516257384121285
1670926173.202807,7.323778,-0.8537689283480359
1670926173.203814,7.31582,-0.8559121182839432
