measure_time,emg_ch_1,grip_force_inter
1670927975.3676791,26.571022,-1.075823
1670927975.3686862,26.573547,-1.0399037839771101
1670927975.369693,26.571239,-1.075823
1670927975.3707001,26.571503,-1.076974505125149
1670927975.3717082,26.573355,-1.1290466118264186
1670927975.3727152,26.57143,-1.0958877582260371
1670927975.373722,26.573257,-1.1474075210965435
1670927975.3747292,26.57708,-1.130099
1670927975.3757362,26.576166,-1.1321692718168812
1670927975.376743,26.57559,-1.1661609868154401
1670927975.3777502,26.570181,-1.1643392779248027
1670927975.378757,26.565903,-1.1625180003099445
1670927975.379764,26.554939,-1.160696291419307
1670927975.3807712,26.54965,-1.15887458252867
1670927975.381778,26.56119,-1.1570533049138116
1670927975.382785,26.568041,-1.1552315960231743
1670927975.383793,26.566984,-1.153408162029421
1670927975.3848002,26.562897,-1.1515864531387836
1670927975.385807,26.559122,-1.1497651755239253
1670927975.386814,26.558088,-1.147943466633288
1670927975.3878212,26.553881,-1.1461217577426508
1670927975.388828,26.557199,-1.1443004801277925
1670927975.3898351,26.562729,-1.1424787712371551
1670927975.3908422,26.56357,-1.140657062346518
1670927975.391849,26.55393,-1.1388357847316597
1670927975.3928561,26.541067,-1.1370140758410223
1670927975.3938632,26.537365,-1.135192366950385
1670927975.39487,26.543808,-1.1333710893355267
1670927975.3958771,26.558281,-1.1315493804448895
1670927975.3968852,26.56155,-1.1263690870083432
1670927975.3978922,26.552679,-1.1197217625178826
1670927975.398899,26.53537,-1.1442070398187887
1670927975.3999062,26.530706,-1.1383177446960666
1670927975.400913,26.530972,-1.170508118025751
1670927975.40192,26.529818,-1.1756449799713877
1670927975.4029272,26.554171,-1.1436980979971387
1670927975.403934,26.59326,-1.1393267616209772
1670927975.404941,26.626797,-1.1520568204577968
1670927975.4059482,26.639633,-1.11201
1670927975.406955,26.621723,-1.11201
1670927975.407962,26.60379,-1.11201
1670927975.40897,26.580061,-1.11201
1670927975.4099772,26.56547,-1.11201
1670927975.410984,26.574965,-1.11201
1670927975.4119911,26.574196,-1.11201
1670927975.4129982,26.567657,-1.11201
1670927975.414005,26.566143,-1.11201
1670927975.4150121,26.56583,-1.11201
1670927975.4160192,26.568954,-1.11201
1670927975.417026,26.571695,-1.11201
1670927975.4180331,26.564266,-1.11201
1670927975.4190402,26.5653,-1.11201
1670927975.420047,26.57119,-1.11201
1670927975.4210541,26.569099,-1.11201
1670927975.4220622,26.567152,-1.11201
1670927975.423069,26.569267,-1.11201
1670927975.424076,26.569147,-1.11201
1670927975.4250832,26.57148,-1.11201
1670927975.42609,26.572874,-1.11201
1670927975.427097,26.572994,-1.1114493013829279
