measure_time,emg_ch_1,grip_force_inter
1670930494.078123,-12.922084,-0.903466
1670930494.0791302,-12.918839,-0.9041946835562549
1670930494.0801373,-12.915064,-0.9049233671125099
1670930494.081144,-12.923286,-0.9056518781584532
1670930494.0821512,-12.932446,-0.906380561714708
1670930494.0831583,-12.94021,-0.9071092452709629
1670930494.084165,-12.946677,-0.9078377563169062
1670930494.0851722,-12.953794,-0.9085664398731612
1670930494.0861802,-12.958217,-0.9092958134706626
1670930494.0871873,-12.956991,-0.9100244970269175
1670930494.0881941,-12.953841,-0.9107530080728607
1670930494.0892012,-12.950885,-0.9114816916291157
1670930494.0902083,-12.941917,-0.9122103751853706
1670930494.0912151,-12.934586,-0.9129388862313139
1670930494.0922222,-12.921964,-0.9136675697875688
1670930494.0932293,-12.905832,-0.9143962533438238
1670930494.0942361,-12.908092,-0.9151247643897671
1670930494.0952432,-12.921267,-0.915853447946022
1670930494.0962503,-12.918358,-0.9165821315022769
1670930494.0972571,-12.909776,-0.9173106425482203
1670930494.0982652,-12.913502,-0.9180400161457216
1670930494.0992723,-12.922685,-0.9187686997019765
1670930494.100279,-12.930354,-0.9194972107479198
1670930494.1012862,-12.930185,-0.9202258943041747
1670930494.1022933,-12.935018,-0.9209545778604297
1670930494.1033,-12.949658,-0.921683088906373
1670930494.1043072,-12.942134,-0.9224117724626278
1670930494.1053143,-12.936941,-0.9231404560188828
1670930494.106321,-12.940667,-0.9238689670648261
1670930494.1073282,-12.944682,-0.924597650621081
1670930494.1083353,-12.947038,-0.9253263341773359
1670930494.109342,-12.941317,-0.9260548452232792
1670930494.1103492,-12.924488,-0.9267835287795342
1670930494.1113572,-12.922276,-0.9275129023770355
1670930494.1123643,-12.924656,-0.9282415859332904
1670930494.1133711,-12.925258,-0.9289700969792337
1670930494.1143782,-12.923238,-0.9296987805354887
1670930494.1153853,-12.91968,-0.9304274640917436
1670930494.1163921,-12.917276,-0.9311559751376869
1670930494.1173992,-12.91617,-0.9318846586939418
1670930494.1184063,-12.921723,-0.9326133422501968
1670930494.1194131,-12.917901,-0.9333418532961401
1670930494.1204202,-12.918141,-0.9340705368523949
1670930494.1214273,-12.921916,-0.9347992204086498
1670930494.1224341,-12.926051,-0.9355277314545931
1670930494.1234422,-12.93021,-0.9362571050520946
1670930494.1244493,-12.937061,-0.9369857886083495
1670930494.125456,-12.941388,-0.9377142996542928
1670930494.1264632,-12.939874,-0.9384429832105476
1670930494.1274703,-12.941845,-0.9391716667668026
1670930494.128477,-12.939778,-0.9524538068669528
1670930494.1294842,-12.944249,-0.9823562954220314
1670930494.1304913,-12.945163,-0.9872489010727056
1670930494.131498,-12.947014,-0.9690375467334287
1670930494.1325052,-12.946797,-0.9784775934668574
1670930494.1335123,-12.938696,-1.012008
1670930494.134519,-12.931292,-1.0048408285646162
1670930494.1355262,-12.93295,-1.0157944108249881
1670930494.1365342,-12.936628,-1.0407477342073899
1670930494.1375413,-12.932542,-1.023593287353966
1670930494.1385481,-12.931869,-1.0079346907153106
1670930494.1395552,-12.930305,-0.9922723861447018
1670930494.1405623,-12.930979,-0.976610081574093
1670930494.1415691,-12.937951,-0.9609514849354376
1670930494.1425762,-12.939826,-0.9866823009060562
1670930494.1435833,-12.939874,-0.993911
1670930494.1445901,-12.945235,-0.964459779499404
1670930494.1455972,-12.952063,-1.0171563705293276
1670930494.1466043,-12.95365,-1.0001231888412017
1670930494.1476111,-12.95365,-0.978802328803052
1670930494.1486192,-12.956342,-0.9768390955103208
1670930494.1496263,-12.954418,-0.9780537439229856
1670930494.150633,-12.951293,-0.9792681047768406
1670930494.1516402,-12.945572,-0.9804827531895053
1670930494.1526473,-12.942999,-0.9816974016021701
1670930494.153654,-12.943048,-0.9829117624560251
1670930494.1546612,-12.941581,-0.9841264108686898
1670930494.1556683,-12.939417,-0.9853410592813546
1670930494.156675,-12.940619,-0.9865554201352096
1670930494.1576822,-12.939153,-0.9877700685478743
1670930494.1586893,-12.934753,-0.9889847169605391
1670930494.159696,-12.927156,-0.9901990778143941
1670930494.1607032,-12.923671,-0.9914137262270588
1670930494.1617112,-12.923935,-0.9926295248749629
1670930494.1627183,-12.929753,-0.9938441732876276
1670930494.1637251,-12.940884,-0.9950585341414826
1670930494.1647322,-12.952351,-0.9962731825541474
1670930494.1657393,-12.958939,-0.9974878309668122
1670930494.1667461,-12.964252,-0.9987021918206671
1670930494.1677532,-12.96228,-0.9999168402333319
1670930494.1687603,-12.956943,-1.0011314886459968
1670930494.1697671,-12.956775,-1.0023458494998516
1670930494.1707742,-12.958145,-1.0035604979125163
1670930494.1717813,-12.95425,-1.0047751463251813
1670930494.1727881,-12.952784,-1.0059895071790361
1670930494.1737962,-12.953866,-1.0072053058269401
1670930494.1748033,-12.960093,-1.008419954239605
1670930494.17581,-12.958169,-1.00963431509346
1670930494.1768172,-12.951365,-1.0108489635061246
1670930494.1778243,-12.956125,-1.0120636119187896
1670930494.178831,-12.960981,-1.0132779727726444
1670930494.1798382,-12.958602,-1.0144926211853091
1670930494.1808453,-12.950668,-1.015707269597974
1670930494.181852,-12.942855,-1.016921630451829
1670930494.1828592,-12.938023,-1.0181362788644936
1670930494.1838663,-12.94086,-1.0193509272771586
1670930494.184873,-12.938745,-1.0205652881310134
1670930494.1858802,-12.933239,-1.0217799365436782
1670930494.1868882,-12.941173,-1.0229957351915824
1670930494.1878953,-12.954226,-1.024210383604247
1670930494.1889021,-12.955428,-1.025424744458102
1670930494.1899092,-12.946197,-1.0266393928707669
1670930494.1909163,-12.939922,-1.0278540412834316
1670930494.1919231,-12.93021,-1.0290684021372865
1670930494.1929302,-12.931268,-1.0328875538865046
1670930494.1939373,-12.939177,-1.0394269594755663
1670930494.1949441,-12.945283,-0.996953056509299
1670930494.1959512,-12.946365,-1.0024962868383405
1670930494.1969583,-12.941509,-0.9610317091775923
1670930494.1979651,-12.933623,-0.9860842973295183
1670930494.1989732,-12.933936,-1.0229616108726753
1670930494.1999803,-12.93908,-0.993911
1670930494.200987,-12.948648,-0.997729751788269
1670930494.2019942,-12.955212,-1.011656964277762
1670930494.2030013,-12.95788,-1.0100364452714954
1670930494.204008,-12.964179,-1.008416309910827
1670930494.2050152,-12.967232,-1.0067957909045604
1670930494.2060223,-12.96728,-1.005175271898294
1670930494.207029,-12.973194,-1.0035551365376256
1670930494.2080362,-12.977954,-1.001934617531359
1670930494.2090433,-12.985311,-1.0003140985250925
1670930494.21005,-12.992955,-0.9986939631644242
1670930494.2110572,-12.987065,-0.9970734441581576
1670930494.2120652,-12.972906,-0.9954513905694988
1670930494.2130723,-12.96728,-0.9938308715632324
1670930494.2140791,-12.969636,-0.9922107362025638
1670930494.2150862,-12.968602,-0.9905902171962974
1670930494.2160933,-12.971416,-0.9889696981900309
1670930494.2171001,-12.975478,-0.9873495628293625
1670930494.2181072,-12.969612,-0.9857290438230959
1670930494.2191143,-12.970573,-0.9841085248168294
1670930494.2201211,-12.96502,-0.982488389456161
